datum,ort,neuPositiv,inzidenz7tage
2021-09-16,Anzing,0,45.15
2021-09-17,Anzing,0,45.15
2021-09-18,Anzing,0,45.15
2021-09-19,Anzing,0,45.15
2021-09-20,Anzing,0,45.15
2021-09-21,Anzing,2,45.15
2021-09-22,Anzing,1,67.72
2021-09-23,Anzing,0,67.72
2021-09-24,Anzing,0,67.72
2021-09-25,Anzing,0,67.72
2021-09-26,Anzing,0,67.72
2021-09-27,Anzing,1,90.29
2021-09-28,Anzing,0,45.15
2021-09-29,Anzing,0,22.57
2021-09-30,Anzing,0,22.57
2021-10-01,Anzing,0,22.57
2021-10-02,Anzing,0,22.57
2021-10-03,Anzing,0,22.57
2021-10-04,Anzing,0,0
2021-10-05,Anzing,1,22.57
2021-10-06,Anzing,0,22.57
2021-10-07,Anzing,0,22.57
2021-10-08,Anzing,2,67.72
2021-10-09,Anzing,0,67.72
2021-10-10,Anzing,0,67.72
2021-10-11,Anzing,1,90.29
2021-10-12,Anzing,1,90.29
2021-10-13,Anzing,0,90.29
2021-10-14,Anzing,1,112.87
2021-10-15,Anzing,0,67.72
2021-10-16,Anzing,5,180.59
2021-10-17,Anzing,1,203.16
2021-10-18,Anzing,1,203.16
2021-10-19,Anzing,6,316.03
2021-10-20,Anzing,4,406.32
2021-10-21,Anzing,4,474.04
2021-10-22,Anzing,4,564.33
2021-10-23,Anzing,0,451.47
2021-10-24,Anzing,0,428.89
2021-10-25,Anzing,2,451.47
2021-10-26,Anzing,2,361.17
2021-10-27,Anzing,6,406.32
2021-10-28,Anzing,7,474.04
2021-10-29,Anzing,4,474.04
2021-10-30,Anzing,3,541.76
2021-10-31,Anzing,1,564.33
2021-11-01,Anzing,2,564.33
2021-11-02,Anzing,2,564.33
2021-11-03,Anzing,7,586.91
2021-11-04,Anzing,2,474.04
2021-11-05,Anzing,2,428.89
2021-11-06,Anzing,5,474.04
2021-11-07,Anzing,2,496.61
2021-11-08,Anzing,3,519.19
2021-11-09,Anzing,2,519.19
2021-11-10,Anzing,9,564.33
2021-11-11,Anzing,3,586.91
2021-11-12,Anzing,0,541.76
2021-11-13,Anzing,5,541.76
2021-11-14,Anzing,1,519.19
2021-11-15,Anzing,4,541.76
2021-11-16,Anzing,2,541.76
2021-11-17,Anzing,2,383.75
2021-11-18,Anzing,4,406.32
2021-11-19,Anzing,11,654.63
2021-11-20,Anzing,3,609.48
2021-11-21,Anzing,8,767.49
2021-11-22,Anzing,1,699.77
2021-11-23,Anzing,7,812.64
2021-11-24,Anzing,4,857.79
