datum,altersgruppe,neuPositiv,inzidenz7tage
2020-06-05,15-34,0,3.18
2020-06-05,35-59,1,3.6
2020-06-05,60-79,0,0
2020-06-05,80+,0,22.14
2020-06-06,00-04,0,0
2020-06-06,05-14,0,0
2020-06-06,15-34,0,3.18
2020-06-06,35-59,0,3.6
2020-06-06,60-79,0,0
2020-06-06,80+,0,22.14
2020-06-07,00-04,0,0
2020-06-07,05-14,0,0
2020-06-07,15-34,0,3.18
2020-06-07,35-59,0,3.6
2020-06-07,60-79,0,0
2020-06-07,80+,0,22.14
2020-06-08,00-04,0,0
2020-06-08,05-14,0,0
2020-06-08,15-34,0,3.18
2020-06-08,35-59,1,5.41
2020-06-08,60-79,0,0
2020-06-08,80+,0,22.14
2020-06-09,00-04,0,0
2020-06-09,05-14,0,0
2020-06-09,15-34,0,3.18
2020-06-09,35-59,0,5.41
2020-06-09,60-79,0,0
2020-06-09,80+,0,0
2020-06-10,00-04,0,0
2020-06-10,05-14,0,0
2020-06-10,15-34,0,3.18
2020-06-10,35-59,0,5.41
2020-06-10,60-79,0,0
2020-06-10,80+,0,0
2020-06-11,00-04,0,0
2020-06-11,05-14,0,0
2020-06-11,15-34,0,0
2020-06-11,35-59,0,3.6
2020-06-11,60-79,0,0
2020-06-11,80+,0,0
2020-06-12,00-04,0,0
2020-06-12,05-14,0,0
2020-06-12,15-34,1,3.18
2020-06-12,35-59,0,1.8
2020-06-12,60-79,0,0
2020-06-12,80+,0,0
2020-06-13,00-04,0,0
2020-06-13,05-14,0,0
2020-06-13,15-34,0,3.18
2020-06-13,35-59,0,1.8
2020-06-13,60-79,0,0
2020-06-13,80+,0,0
2020-06-14,00-04,0,0
2020-06-14,05-14,0,0
2020-06-14,15-34,0,3.18
2020-06-14,35-59,0,1.8
2020-06-14,60-79,0,0
2020-06-14,80+,0,0
2020-06-15,00-04,0,0
2020-06-15,05-14,0,0
2020-06-15,15-34,0,3.18
2020-06-15,35-59,0,0
2020-06-15,60-79,0,0
2020-06-15,80+,0,0
2020-06-16,00-04,0,0
2020-06-16,05-14,0,0
2020-06-16,15-34,0,3.18
2020-06-16,35-59,0,0
2020-06-16,60-79,0,0
2020-06-16,80+,0,0
2020-06-17,00-04,0,0
2020-06-17,05-14,0,0
2020-06-17,15-34,0,3.18
2020-06-17,35-59,0,0
2020-06-17,60-79,0,0
2020-06-17,80+,0,0
2020-06-18,00-04,0,0
2020-06-18,05-14,0,0
2020-06-18,15-34,0,3.18
2020-06-18,35-59,0,0
2020-06-18,60-79,0,0
2020-06-18,80+,0,0
2020-06-19,00-04,0,0
2020-06-19,05-14,0,0
2020-06-19,15-34,0,0
2020-06-19,35-59,0,0
2020-06-19,60-79,0,0
2020-06-19,80+,0,0
2020-06-20,00-04,0,0
2020-06-20,05-14,0,0
2020-06-20,15-34,0,0
2020-06-20,35-59,0,0
2020-06-20,60-79,0,0
2020-06-20,80+,0,0
2020-06-21,00-04,0,0
2020-06-21,05-14,0,0
2020-06-21,15-34,0,0
2020-06-21,35-59,0,0
2020-06-21,60-79,0,0
2020-06-21,80+,0,0
2020-06-22,00-04,0,0
2020-06-22,05-14,0,0
2020-06-22,15-34,0,0
2020-06-22,35-59,0,0
2020-06-22,60-79,0,0
2020-06-22,80+,0,0
2020-06-23,00-04,0,0
2020-06-23,05-14,0,0
2020-06-23,15-34,0,0
2020-06-23,35-59,0,0
2020-06-23,60-79,0,0
2020-06-23,80+,0,0
2020-06-24,00-04,0,0
2020-06-24,05-14,0,0
2020-06-24,15-34,0,0
2020-06-24,35-59,0,0
2020-06-24,60-79,0,0
2020-06-24,80+,0,0
2020-06-25,00-04,0,0
2020-06-25,05-14,0,0
2020-06-25,15-34,0,0
2020-06-25,35-59,0,0
2020-06-25,60-79,0,0
2020-06-25,80+,0,0
2020-06-26,00-04,0,0
2020-06-26,05-14,0,0
2020-06-26,15-34,0,0
2020-06-26,35-59,0,0
2020-06-26,60-79,0,0
2020-06-26,80+,0,0
2020-06-27,00-04,0,0
2020-06-27,05-14,0,0
2020-06-27,15-34,0,0
2020-06-27,35-59,0,0
2020-06-27,60-79,0,0
2020-06-27,80+,0,0
2020-06-28,00-04,0,0
2020-06-28,05-14,0,0
2020-06-28,15-34,0,0
2020-06-28,35-59,0,0
2020-06-28,60-79,0,0
2020-06-28,80+,0,0
2020-06-29,00-04,0,0
2020-06-29,05-14,0,0
2020-06-29,15-34,0,0
2020-06-29,35-59,0,0
2020-06-29,60-79,0,0
2020-06-29,80+,0,0
2020-06-30,00-04,0,0
2020-06-30,05-14,0,0
2020-06-30,15-34,0,0
2020-06-30,35-59,0,0
2020-06-30,60-79,0,0
2020-06-30,80+,0,0
2020-07-01,00-04,0,0
2020-07-01,05-14,0,0
2020-07-01,15-34,0,0
2020-07-01,35-59,0,0
2020-07-01,60-79,0,0
2020-07-01,80+,0,0
2020-07-02,00-04,0,0
2020-07-02,05-14,0,0
2020-07-02,15-34,0,0
2020-07-02,35-59,0,0
2020-07-02,60-79,0,0
2020-07-02,80+,0,0
2020-07-03,00-04,0,0
2020-07-03,05-14,0,0
2020-07-03,15-34,1,3.18
2020-07-03,35-59,0,0
2020-07-03,60-79,0,0
2020-07-03,80+,0,0
2020-07-04,00-04,0,0
2020-07-04,05-14,0,0
2020-07-04,15-34,0,3.18
2020-07-04,35-59,0,0
2020-07-04,60-79,1,3.69
2020-07-04,80+,0,0
2020-07-05,00-04,0,0
2020-07-05,05-14,0,0
2020-07-05,15-34,0,3.18
2020-07-05,35-59,0,0
2020-07-05,60-79,0,3.69
2020-07-05,80+,0,0
2020-07-06,00-04,0,0
2020-07-06,05-14,0,0
2020-07-06,15-34,0,3.18
2020-07-06,35-59,1,1.8
2020-07-06,60-79,0,3.69
2020-07-06,80+,0,0
2020-07-07,00-04,0,0
2020-07-07,05-14,0,0
2020-07-07,15-34,0,3.18
2020-07-07,35-59,0,1.8
2020-07-07,60-79,0,3.69
2020-07-07,80+,0,0
2020-07-08,00-04,0,0
2020-07-08,05-14,0,0
2020-07-08,15-34,0,3.18
2020-07-08,35-59,0,1.8
2020-07-08,60-79,0,3.69
2020-07-08,80+,1,11.07
2020-07-09,00-04,0,0
2020-07-09,05-14,0,0
2020-07-09,15-34,0,3.18
2020-07-09,35-59,0,1.8
2020-07-09,60-79,0,3.69
2020-07-09,80+,0,11.07
2020-07-10,00-04,0,0
2020-07-10,05-14,0,0
2020-07-10,15-34,1,3.18
2020-07-10,35-59,1,3.6
2020-07-10,60-79,0,3.69
2020-07-10,80+,0,11.07
2020-07-11,00-04,0,0
2020-07-11,05-14,0,0
2020-07-11,15-34,0,3.18
2020-07-11,35-59,0,3.6
2020-07-11,60-79,0,0
2020-07-11,80+,0,11.07
2020-07-12,00-04,0,0
2020-07-12,05-14,0,0
2020-07-12,15-34,0,3.18
2020-07-12,35-59,0,3.6
2020-07-12,60-79,0,0
2020-07-12,80+,0,11.07
2020-07-13,00-04,0,0
2020-07-13,05-14,0,0
2020-07-13,15-34,0,3.18
2020-07-13,35-59,0,1.8
2020-07-13,60-79,0,0
2020-07-13,80+,0,11.07
2020-07-14,00-04,0,0
2020-07-14,05-14,0,0
2020-07-14,15-34,1,6.36
2020-07-14,35-59,1,3.6
2020-07-14,60-79,0,0
2020-07-14,80+,0,11.07
2020-07-15,00-04,0,0
2020-07-15,05-14,0,0
2020-07-15,15-34,0,6.36
2020-07-15,35-59,0,3.6
2020-07-15,60-79,0,0
2020-07-15,80+,0,0
2020-07-16,00-04,0,0
2020-07-16,05-14,0,0
2020-07-16,15-34,0,6.36
2020-07-16,35-59,0,3.6
2020-07-16,60-79,0,0
2020-07-16,80+,0,0
2020-07-17,00-04,0,0
2020-07-17,05-14,0,0
2020-07-17,15-34,1,6.36
2020-07-17,35-59,0,1.8
2020-07-17,60-79,0,0
2020-07-17,80+,0,0
2020-07-18,00-04,0,0
2020-07-18,05-14,0,0
2020-07-18,15-34,0,6.36
2020-07-18,35-59,0,1.8
2020-07-18,60-79,0,0
2020-07-18,80+,0,0
2020-07-19,00-04,0,0
2020-07-19,05-14,0,0
2020-07-19,15-34,0,6.36
2020-07-19,35-59,0,1.8
2020-07-19,60-79,0,0
2020-07-19,80+,0,0
2020-07-20,00-04,0,0
2020-07-20,05-14,0,0
2020-07-20,15-34,0,6.36
2020-07-20,35-59,0,1.8
2020-07-20,60-79,0,0
2020-07-20,80+,0,0
2020-07-21,00-04,0,0
2020-07-21,05-14,0,0
2020-07-21,15-34,0,3.18
2020-07-21,35-59,0,0
2020-07-21,60-79,0,0
2020-07-21,80+,0,0
2020-07-22,00-04,0,0
2020-07-22,05-14,1,6.59
2020-07-22,15-34,0,3.18
2020-07-22,35-59,1,1.8
2020-07-22,60-79,0,0
2020-07-22,80+,0,0
2020-07-23,00-04,0,0
2020-07-23,05-14,0,6.59
2020-07-23,15-34,0,3.18
2020-07-23,35-59,0,1.8
2020-07-23,60-79,0,0
2020-07-23,80+,0,0
2020-07-24,00-04,0,0
2020-07-24,05-14,0,6.59
2020-07-24,15-34,1,3.18
2020-07-24,35-59,0,1.8
2020-07-24,60-79,0,0
2020-07-24,80+,0,0
2020-07-25,00-04,0,0
2020-07-25,05-14,0,6.59
