datum,einrichtung,geschlecht,erstimpfungen,zweitimpfungen,drittimpfungen
2021-09-04,Impfzentrum,Divers,25,17,0
2021-09-05,Impfzentrum,Weiblich,27237,24514,0
2021-09-05,Impfzentrum,Maennlich,23719,21094,0
2021-09-05,Impfzentrum,Divers,25,18,0
2021-09-06,Impfzentrum,Weiblich,27272,24549,0
2021-09-06,Impfzentrum,Maennlich,23755,21126,0
2021-09-06,Impfzentrum,Divers,25,18,0
2021-09-07,Impfzentrum,Weiblich,27299,24588,0
2021-09-07,Impfzentrum,Maennlich,23796,21164,0
2021-09-07,Impfzentrum,Divers,25,18,0
2021-09-08,Impfzentrum,Weiblich,27325,24619,0
2021-09-08,Impfzentrum,Maennlich,23829,21201,0
2021-09-08,Impfzentrum,Divers,25,18,0
2021-09-09,Impfzentrum,Weiblich,27377,24652,0
2021-09-09,Impfzentrum,Maennlich,23872,21245,0
2021-09-09,Impfzentrum,Divers,25,18,0
2021-09-10,Impfzentrum,Weiblich,27411,24699,0
2021-09-10,Impfzentrum,Maennlich,23899,21310,0
2021-09-10,Impfzentrum,Divers,25,18,0
2021-09-11,Impfzentrum,Weiblich,27464,24796,0
2021-09-11,Impfzentrum,Maennlich,23964,21428,0
2021-09-11,Impfzentrum,Divers,25,18,0
2021-09-12,Impfzentrum,Weiblich,27492,24861,0
2021-09-12,Impfzentrum,Maennlich,24011,21484,0
2021-09-12,Impfzentrum,Divers,25,19,0
2021-09-13,Impfzentrum,Weiblich,27514,24915,0
2021-09-13,Impfzentrum,Maennlich,24030,21553,0
2021-09-13,Impfzentrum,Divers,25,19,0
2021-09-14,Impfzentrum,Weiblich,27573,24969,0
2021-09-14,Impfzentrum,Maennlich,24099,21634,0
2021-09-14,Impfzentrum,Divers,25,19,0
2021-09-15,Impfzentrum,Weiblich,27593,24992,0
2021-09-15,Impfzentrum,Maennlich,24119,21664,0
2021-09-15,Impfzentrum,Divers,25,19,0
2021-09-16,Impfzentrum,Weiblich,27621,25020,0
2021-09-16,Impfzentrum,Maennlich,24145,21693,0
2021-09-16,Impfzentrum,Divers,25,19,0
2021-09-17,Impfzentrum,Weiblich,27654,25058,0
