datum,einrichtung,altersgruppe,erstimpfungen,zweitimpfungen,drittimpfungen,viertimpfungen
2021-05-23,Impfzentrum,70-79,6921,1913,0,0
2021-05-23,Impfzentrum,80+,7553,6095,0,0
2021-05-24,Impfzentrum,0-19,889,206,0,0
2021-05-24,Impfzentrum,20-29,3123,777,0,0
2021-05-24,Impfzentrum,30-39,3987,1077,0,0
2021-05-24,Impfzentrum,40-49,4811,1438,0,0
2021-05-24,Impfzentrum,50-59,6709,2057,0,0
2021-05-24,Impfzentrum,60-69,4682,1181,0,0
2021-05-24,Impfzentrum,70-79,6921,1913,0,0
2021-05-24,Impfzentrum,80+,7553,6095,0,0
2021-05-25,Impfzentrum,0-19,889,206,0,0
2021-05-25,Impfzentrum,20-29,3123,777,0,0
2021-05-25,Impfzentrum,30-39,3987,1077,0,0
2021-05-25,Impfzentrum,40-49,4811,1438,0,0
2021-05-25,Impfzentrum,50-59,6709,2057,0,0
2021-05-25,Impfzentrum,60-69,4682,1181,0,0
2021-05-25,Impfzentrum,70-79,6921,1913,0,0
2021-05-25,Impfzentrum,80+,7553,6095,0,0
2021-05-26,Impfzentrum,0-19,908,268,0,0
2021-05-26,Impfzentrum,20-29,3235,1069,0,0
2021-05-26,Impfzentrum,30-39,4081,1478,0,0
2021-05-26,Impfzentrum,40-49,4947,1869,0,0
2021-05-26,Impfzentrum,50-59,6873,2685,0,0
2021-05-26,Impfzentrum,60-69,4769,1569,0,0
2021-05-26,Impfzentrum,70-79,6997,2698,0,0
2021-05-26,Impfzentrum,80+,7563,6126,0,0
2021-05-27,Impfzentrum,0-19,908,268,0,0
2021-05-27,Impfzentrum,20-29,3235,1069,0,0
2021-05-27,Impfzentrum,30-39,4081,1478,0,0
2021-05-27,Impfzentrum,40-49,4947,1869,0,0
2021-05-27,Impfzentrum,50-59,6873,2685,0,0
2021-05-27,Impfzentrum,60-69,4769,1569,0,0
2021-05-27,Impfzentrum,70-79,6997,2698,0,0
2021-05-27,Impfzentrum,80+,7563,6126,0,0
2021-05-28,Impfzentrum,0-19,909,283,0,0
2021-05-28,Impfzentrum,20-29,3242,1137,0,0
2021-05-28,Impfzentrum,30-39,4097,1584,0,0
2021-05-28,Impfzentrum,40-49,4955,1978,0,0
2021-05-28,Impfzentrum,50-59,6897,2850,0,0
2021-05-28,Impfzentrum,60-69,4778,1687,0,0
2021-05-28,Impfzentrum,70-79,7034,2942,0,0
2021-05-28,Impfzentrum,80+,7563,6140,0,0
2021-05-29,Impfzentrum,0-19,909,283,0,0
2021-05-29,Impfzentrum,20-29,3242,1137,0,0
2021-05-29,Impfzentrum,30-39,4097,1584,0,0
2021-05-29,Impfzentrum,40-49,4955,1978,0,0
2021-05-29,Impfzentrum,50-59,6897,2850,0,0
2021-05-29,Impfzentrum,60-69,4778,1687,0,0
2021-05-29,Impfzentrum,70-79,7034,2942,0,0
2021-05-29,Impfzentrum,80+,7563,6140,0,0
2021-05-30,Impfzentrum,0-19,909,283,0,0
2021-05-30,Impfzentrum,20-29,3242,1137,0,0
2021-05-30,Impfzentrum,30-39,4097,1584,0,0
2021-05-30,Impfzentrum,40-49,4955,1978,0,0
2021-05-30,Impfzentrum,50-59,6897,2850,0,0
2021-05-30,Impfzentrum,60-69,4778,1687,0,0
2021-05-30,Impfzentrum,70-79,7034,2942,0,0
2021-05-30,Impfzentrum,80+,7563,6140,0,0
2021-05-31,Impfzentrum,0-19,920,302,0,0
2021-05-31,Impfzentrum,20-29,3254,1191,0,0
2021-05-31,Impfzentrum,30-39,4116,1652,0,0
2021-05-31,Impfzentrum,40-49,4984,2058,0,0
2021-05-31,Impfzentrum,50-59,6928,2993,0,0
2021-05-31,Impfzentrum,60-69,4791,1765,0,0
2021-05-31,Impfzentrum,70-79,7039,2986,0,0
2021-05-31,Impfzentrum,80+,7564,6143,0,0
2021-06-01,Impfzentrum,0-19,923,316,0,0
2021-06-01,Impfzentrum,20-29,3264,1290,0,0
2021-06-01,Impfzentrum,30-39,4130,1789,0,0
2021-06-01,Impfzentrum,40-49,5003,2220,0,0
2021-06-01,Impfzentrum,50-59,6965,3238,0,0
2021-06-01,Impfzentrum,60-69,4797,1812,0,0
2021-06-01,Impfzentrum,70-79,7043,3037,0,0
2021-06-01,Impfzentrum,80+,7570,6230,0,0
2021-06-02,Impfzentrum,0-19,927,343,0,0
2021-06-02,Impfzentrum,20-29,3278,1353,0,0
2021-06-02,Impfzentrum,30-39,4143,1912,0,0
2021-06-02,Impfzentrum,40-49,5021,2361,0,0
2021-06-02,Impfzentrum,50-59,6984,3462,0,0
2021-06-02,Impfzentrum,60-69,4804,1892,0,0
2021-06-02,Impfzentrum,70-79,7048,3137,0,0
2021-06-02,Impfzentrum,80+,7585,6535,0,0
2021-06-03,Impfzentrum,0-19,928,359,0,0
2021-06-03,Impfzentrum,20-29,3282,1420,0,0
2021-06-03,Impfzentrum,30-39,4156,1998,0,0
2021-06-03,Impfzentrum,40-49,5030,2455,0,0
2021-06-03,Impfzentrum,50-59,7011,3667,0,0
2021-06-03,Impfzentrum,60-69,4807,1977,0,0
2021-06-03,Impfzentrum,70-79,7060,3246,0,0
2021-06-03,Impfzentrum,80+,7588,6700,0,0
2021-06-04,Impfzentrum,0-19,928,359,0,0
2021-06-04,Impfzentrum,20-29,3282,1420,0,0
2021-06-04,Impfzentrum,30-39,4156,1998,0,0
2021-06-04,Impfzentrum,40-49,5030,2455,0,0
2021-06-04,Impfzentrum,50-59,7011,3667,0,0
2021-06-04,Impfzentrum,60-69,4807,1977,0,0
2021-06-04,Impfzentrum,70-79,7060,3246,0,0
2021-06-04,Impfzentrum,80+,7588,6700,0,0
2021-06-05,Impfzentrum,0-19,928,359,0,0
2021-06-05,Impfzentrum,20-29,3282,1420,0,0
2021-06-05,Impfzentrum,30-39,4156,1998,0,0
2021-06-05,Impfzentrum,40-49,5030,2455,0,0
2021-06-05,Impfzentrum,50-59,7011,3667,0,0
2021-06-05,Impfzentrum,60-69,4807,1977,0,0
2021-06-05,Impfzentrum,70-79,7060,3246,0,0
2021-06-05,Impfzentrum,80+,7588,6700,0,0
2021-06-06,Impfzentrum,0-19,928,359,0,0
2021-06-06,Impfzentrum,20-29,3282,1420,0,0
2021-06-06,Impfzentrum,30-39,4156,1998,0,0
2021-06-06,Impfzentrum,40-49,5030,2455,0,0
2021-06-06,Impfzentrum,50-59,7011,3667,0,0
2021-06-06,Impfzentrum,60-69,4807,1977,0,0
2021-06-06,Impfzentrum,70-79,7060,3246,0,0
2021-06-06,Impfzentrum,80+,7588,6700,0,0
2021-06-07,Impfzentrum,0-19,930,403,0,0
2021-06-07,Impfzentrum,20-29,3294,1627,0,0
2021-06-07,Impfzentrum,30-39,4171,2239,0,0
2021-06-07,Impfzentrum,40-49,5054,2812,0,0
2021-06-07,Impfzentrum,50-59,7047,4165,0,0
2021-06-07,Impfzentrum,60-69,4824,2423,0,0
2021-06-07,Impfzentrum,70-79,7088,3783,0,0
2021-06-07,Impfzentrum,80+,7598,6904,0,0
2021-06-08,Impfzentrum,0-19,933,417,0,0
2021-06-08,Impfzentrum,20-29,3300,1646,0,0
2021-06-08,Impfzentrum,30-39,4172,2278,0,0
2021-06-08,Impfzentrum,40-49,5056,2852,0,0
2021-06-08,Impfzentrum,50-59,7049,4222,0,0
2021-06-08,Impfzentrum,60-69,4827,2487,0,0
2021-06-08,Impfzentrum,70-79,7090,3836,0,0
2021-06-08,Impfzentrum,80+,7598,6909,0,0
2021-06-09,Impfzentrum,0-19,936,435,0,0
2021-06-09,Impfzentrum,20-29,3312,1702,0,0
2021-06-09,Impfzentrum,30-39,4185,2342,0,0
2021-06-09,Impfzentrum,40-49,5072,2933,0,0
2021-06-09,Impfzentrum,50-59,7077,4375,0,0
2021-06-09,Impfzentrum,60-69,4840,2594,0,0
2021-06-09,Impfzentrum,70-79,7101,3989,0,0
2021-06-09,Impfzentrum,80+,7601,6926,0,0
2021-06-10,Impfzentrum,0-19,938,445,0,0
2021-06-10,Impfzentrum,20-29,3319,1746,0,0
2021-06-10,Impfzentrum,30-39,4192,2402,0,0
2021-06-10,Impfzentrum,40-49,5079,3032,0,0
2021-06-10,Impfzentrum,50-59,7094,4502,0,0
2021-06-10,Impfzentrum,60-69,4849,2692,0,0
2021-06-10,Impfzentrum,70-79,7112,4087,0,0
2021-06-10,Impfzentrum,80+,7606,6947,0,0
2021-06-11,Impfzentrum,0-19,939,455,0,0
2021-06-11,Impfzentrum,20-29,3319,1768,0,0
2021-06-11,Impfzentrum,30-39,4195,2458,0,0
2021-06-11,Impfzentrum,40-49,5084,3090,0,0
2021-06-11,Impfzentrum,50-59,7095,4561,0,0
2021-06-11,Impfzentrum,60-69,4850,2735,0,0
2021-06-11,Impfzentrum,70-79,7112,4112,0,0
2021-06-11,Impfzentrum,80+,7606,6951,0,0
2021-06-14,Impfzentrum,0-19,940,505,0,0
2021-06-14,Impfzentrum,20-29,3328,1939,0,0
2021-06-14,Impfzentrum,30-39,4204,2663,0,0
2021-06-14,Impfzentrum,40-49,5093,3328,0,0
2021-06-14,Impfzentrum,50-59,7114,4883,0,0
2021-06-14,Impfzentrum,60-69,4856,2923,0,0
2021-06-14,Impfzentrum,70-79,7140,4428,0,0
2021-06-14,Impfzentrum,80+,7625,7032,0,0
2021-06-15,Impfzentrum,0-19,940,514,0,0
2021-06-15,Impfzentrum,20-29,3335,1965,0,0
2021-06-15,Impfzentrum,30-39,4207,2688,0,0
2021-06-15,Impfzentrum,40-49,5102,3375,0,0
2021-06-15,Impfzentrum,50-59,7118,4947,0,0
2021-06-15,Impfzentrum,60-69,4857,2938,0,0
2021-06-15,Impfzentrum,70-79,7145,4503,0,0
2021-06-15,Impfzentrum,80+,7627,7045,0,0
2021-06-16,Impfzentrum,0-19,942,524,0,0
2021-06-16,Impfzentrum,20-29,3345,2001,0,0
2021-06-16,Impfzentrum,30-39,4216,2717,0,0
2021-06-16,Impfzentrum,40-49,5118,3440,0,0
2021-06-16,Impfzentrum,50-59,7125,5010,0,0
2021-06-16,Impfzentrum,60-69,4865,2962,0,0
2021-06-16,Impfzentrum,70-79,7148,4556,0,0
2021-06-16,Impfzentrum,80+,7628,7055,0,0
2021-06-17,Impfzentrum,0-19,947,534,0,0
2021-06-17,Impfzentrum,20-29,3349,2054,0,0
2021-06-17,Impfzentrum,30-39,4223,2775,0,0
2021-06-17,Impfzentrum,40-49,5131,3504,0,0
2021-06-17,Impfzentrum,50-59,7140,5110,0,0
2021-06-17,Impfzentrum,60-69,4870,2991,0,0
2021-06-17,Impfzentrum,70-79,7156,4640,0,0
2021-06-17,Impfzentrum,80+,7637,7085,0,0
2021-06-21,Impfzentrum,0-19,989,593,0,0
2021-06-21,Impfzentrum,20-29,3469,2212,0,0
2021-06-21,Impfzentrum,30-39,4341,2925,0,0
2021-06-21,Impfzentrum,40-49,5247,3687,0,0
2021-06-21,Impfzentrum,50-59,7265,5351,0,0
2021-06-21,Impfzentrum,60-69,4921,3099,0,0
2021-06-21,Impfzentrum,70-79,7173,4786,0,0
2021-06-21,Impfzentrum,80+,7638,7124,0,0
2021-06-22,Impfzentrum,0-19,997,611,0,0
2021-06-22,Impfzentrum,20-29,3508,2270,0,0
2021-06-22,Impfzentrum,30-39,4390,3000,0,0
2021-06-22,Impfzentrum,40-49,5284,3763,0,0
2021-06-22,Impfzentrum,50-59,7309,5444,0,0
2021-06-22,Impfzentrum,60-69,4947,3122,0,0
2021-06-22,Impfzentrum,70-79,7174,4796,0,0
2021-06-22,Impfzentrum,80+,7639,7128,0,0
2021-06-23,Impfzentrum,0-19,1010,625,0,0
2021-06-23,Impfzentrum,20-29,3536,2357,0,0
2021-06-23,Impfzentrum,30-39,4418,3085,0,0
2021-06-23,Impfzentrum,40-49,5315,3851,0,0
2021-06-23,Impfzentrum,50-59,7350,5569,0,0
2021-06-23,Impfzentrum,60-69,4961,3177,0,0
2021-06-23,Impfzentrum,70-79,7176,4912,0,0
2021-06-23,Impfzentrum,80+,7639,7130,0,0
2021-06-24,Impfzentrum,0-19,1039,644,0,0
