Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D3;D4;
09175127;Markt Schwaben;09175127;GEMEINDE;Markt Schwaben;;;;N;9683;0;0;0;5486;2236;3250;0;0;93;5393;2736;741;1916;
09175127;Markt Schwaben;091751270001;STIMMBEZIRK;Rathaus Trausaal;0001;;;N;948;0;0;0;196;196;0;0;0;2;194;109;42;43;
09175127;Markt Schwaben;091751270002;STIMMBEZIRK;Jugendzentrum Blues;0002;;;N;955;0;0;0;154;154;0;0;0;2;152;68;23;61;
09175127;Markt Schwaben;091751270003;STIMMBEZIRK;Unterbräu Saal 1;0003;;;N;952;0;0;0;231;231;0;0;0;4;227;95;50;82;
09175127;Markt Schwaben;091751270004;STIMMBEZIRK;Unterbräu Saal 2;0004;;;N;983;0;0;0;213;213;0;0;0;4;209;93;52;64;
09175127;Markt Schwaben;091751270005;STIMMBEZIRK;Alter Bauhof Aufenthaltsraum;0005;;;N;993;0;0;0;302;302;0;0;0;5;297;123;40;134;
09175127;Markt Schwaben;091751270006;STIMMBEZIRK;Falken Grundschule Musikraum;0006;;;N;980;0;0;0;238;238;0;0;0;4;234;105;42;87;
09175127;Markt Schwaben;091751270007;STIMMBEZIRK;Falken Grundschule Mehrzweckraum;0007;;;N;960;0;0;0;241;241;0;0;0;0;241;104;32;105;
09175127;Markt Schwaben;091751270008;STIMMBEZIRK;Grafen-von-Sempt Mittelschule Aula;0008;;;N;967;0;0;0;219;219;0;0;0;1;218;93;33;92;
09175127;Markt Schwaben;091751270009;STIMMBEZIRK;Grafen-von-Sempt-Mittelschule Musikraum;0009;;;N;973;0;0;0;233;233;0;0;0;4;229;103;29;97;
