Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Gültige Stimmen;Ungültige Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;
BRIEFWAHLBEZIRK;091751140211;0;0;0;0;274;0;270;4;CSU;182;AfD;35;GRÜNE;53;
BRIEFWAHLBEZIRK;091751140212;0;0;0;0;266;0;260;6;CSU;172;AfD;37;GRÜNE;51;
STIMMBEZIRK;091751150001;0;0;0;216;0;0;211;5;CSU;69;AfD;32;GRÜNE;110;
STIMMBEZIRK;091751150002;0;0;0;267;0;0;262;5;CSU;120;AfD;43;GRÜNE;99;
STIMMBEZIRK;091751150003;0;0;0;228;0;0;221;7;CSU;95;AfD;48;GRÜNE;78;
STIMMBEZIRK;091751150004;0;0;0;237;0;0;231;6;CSU;107;AfD;39;GRÜNE;85;
STIMMBEZIRK;091751150005;0;0;0;279;0;0;277;2;CSU;102;AfD;49;GRÜNE;126;
STIMMBEZIRK;091751150006;0;0;0;257;0;0;249;8;CSU;107;AfD;33;GRÜNE;109;
STIMMBEZIRK;091751150007;0;0;0;225;0;0;219;6;CSU;107;AfD;37;GRÜNE;75;
STIMMBEZIRK;091751150008;0;0;0;292;0;0;286;6;CSU;117;AfD;57;GRÜNE;112;
STIMMBEZIRK;091751150009;0;0;0;250;0;0;246;4;CSU;108;AfD;39;GRÜNE;99;
STIMMBEZIRK;091751150010;0;0;0;211;0;0;209;2;CSU;115;AfD;42;GRÜNE;52;
BRIEFWAHLBEZIRK;091751150021;0;0;0;0;435;0;427;8;CSU;195;AfD;30;GRÜNE;202;
BRIEFWAHLBEZIRK;091751150022;0;0;0;0;359;0;355;4;CSU;167;AfD;28;GRÜNE;160;
BRIEFWAHLBEZIRK;091751150023;0;0;0;0;386;0;383;3;CSU;178;AfD;26;GRÜNE;179;
BRIEFWAHLBEZIRK;091751150024;0;0;0;0;432;0;424;8;CSU;218;AfD;50;GRÜNE;156;
BRIEFWAHLBEZIRK;091751150025;0;0;0;0;471;0;459;12;CSU;198;AfD;38;GRÜNE;223;
BRIEFWAHLBEZIRK;091751150026;0;0;0;0;407;0;397;10;CSU;200;AfD;39;GRÜNE;158;
BRIEFWAHLBEZIRK;091751150027;0;0;0;0;393;0;390;3;CSU;192;AfD;37;GRÜNE;161;
BRIEFWAHLBEZIRK;091751150028;0;0;0;0;422;0;417;5;CSU;223;AfD;37;GRÜNE;157;
BRIEFWAHLBEZIRK;091751150029;0;0;0;0;378;0;374;4;CSU;184;AfD;31;GRÜNE;159;
BRIEFWAHLBEZIRK;091751150030;0;0;0;0;422;0;407;15;CSU;233;AfD;82;GRÜNE;92;
STIMMBEZIRK;091751160301;0;0;0;278;0;0;275;3;CSU;159;AfD;46;GRÜNE;70;
STIMMBEZIRK;091751160302;0;0;0;258;0;0;258;0;CSU;146;AfD;44;GRÜNE;68;
BRIEFWAHLBEZIRK;091751160311;0;0;0;0;360;0;350;10;CSU;231;AfD;39;GRÜNE;80;
BRIEFWAHLBEZIRK;091751160312;0;0;0;0;367;0;365;2;CSU;248;AfD;34;GRÜNE;83;
STIMMBEZIRK;091751180001;0;0;0;412;0;0;404;8;CSU;199;AfD;95;GRÜNE;110;
STIMMBEZIRK;091751180002;0;0;0;385;0;0;375;10;CSU;201;AfD;76;GRÜNE;98;
