Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;701 (Glaser);702 (Bockler);703 (Reindl);704 (Hartthaler);705 (Baumgartner);706 (Gräf);707 (Germeier);708 (Gell);709 (Trischler);710 (Störkle);711 (Weigl-Mühlfeld);712 (Reismann);713 (Bockler);714 (Pelz);715 (Rüggeberg);716 (Pelz);717 (Renner);718 (Baumgartner);719 (Pudelko);720 (Daschner);721 (Galleneder);722 (Reismann);723 (Englbrecht);724 (Hartthaler);725 (Salzberger);726 (Kirchlechner);727 (Gabel-Obermaier);728 (Wolf);729 (Kranner);730 (Ismair);731 (Ismair);732 (Schweisfurth)
STIMMBEZIRK;091751270003;628;324;0;231;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;12;12;9;9;6;6;6;6;6;6;6;6;6;6;6;6;6;9;6;6;6;9;6;7;6;6;3;3;3;3;3;3
STIMMBEZIRK;091751270004;656;327;0;213;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;18;15;12;31;6;6;6;17;6;7;6;12;6;6;6;6;6;6;9;21;6;6;7;28;6;6;3;8;3;9;3;3
STIMMBEZIRK;091751270005;664;329;0;302;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;21;14;12;16;9;12;9;10;10;9;9;8;7;6;6;6;6;6;6;7;4;4;4;9;4;4;2;2;3;5;2;2
STIMMBEZIRK;091751270006;535;445;0;238;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;34;27;18;37;16;22;22;21;19;15;15;12;12;13;12;12;12;13;15;24;12;12;22;29;12;13;6;12;6;12;10;6
STIMMBEZIRK;091751270007;567;393;0;240;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;8;7;4;8;4;6;8;6;7;5;5;5;4;5;6;4;5;4;4;7;4;5;4;8;4;4;2;2;2;2;2;2
STIMMBEZIRK;091751270008;654;313;0;219;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;20;19;11;30;10;13;9;12;14;12;10;11;10;15;9;9;15;12;12;14;9;9;11;18;6;6;3;5;4;15;12;7
STIMMBEZIRK;091751270009;580;393;0;232;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;27;21;17;15;10;13;11;13;12;10;11;10;12;10;10;10;10;10;10;13;10;10;12;10;10;12;4;6;3;7;3;3
STIMMBEZIRK;091751270010;610;362;0;209;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;9;9;5;9;2;2;6;3;2;3;2;2;2;3;2;3;2;4;3;2;3;2;2;10;2;2;1;4;3;6;4;1
STIMMBEZIRK;091751320001;622;348;0;244;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;3;6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;1;1;1;2;1;1
STIMMBEZIRK;091751320002;396;329;0;149;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1
