Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;801 (Schmid);802 (Böning-Görlach);803 (Boegelein);804 (Koplin);805 (Lügering);806 (Heimisch);807 (Münnich);808 (Bleiel);809 (Eichmeier);810 (Bouderka);811 (Striewski);812 (Großner);813 (Lütje);814 (Munk);815 (Krieg);816 (Siegert);817 (Lindenthal);818 (Maas);819 (Pleitner);820 (Schärtl);821 (Schmidt-Behounek);822 (Haag);823 (Weyh);824 (Ottinger);825 (Huppertz)
STIMMBEZIRK;091751330005;547;331;0;286;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;14;9;10;10;12;9;9;12;12;12;9;9;10;9;12;9;10;6;3;6;3;3;3;3;3
STIMMBEZIRK;091751370001;583;856;0;296;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;19;12;22;10;17;15;12;13;9;9;7;9;3;3;4;9;3;2;5;1;1;2;1;6;2
STIMMBEZIRK;091751370002;913;813;0;442;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;71;60;60;60;57;55;57;60;53;55;55;53;53;48;45;47;43;31;14;14;15;14;14;15;14
STIMMBEZIRK;091751390001;661;437;0;314;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;43;30;40;32;33;31;34;40;33;38;33;34;32;32;31;35;32;20;13;10;14;10;10;11;14
STIMMBEZIRK;091751390002;616;509;0;310;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;36;34;36;36;36;36;36;36;34;36;30;30;30;30;30;30;36;20;10;10;10;10;10;10;10
STIMMBEZIRK;091751390003;408;421;0;246;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;31;28;30;21;27;24;18;26;17;15;17;15;16;16;16;20;15;10;6;5;5;6;5;6;9
STIMMBEZIRK;091751390004;521;362;0;274;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;31;27;27;27;27;28;27;28;27;27;19;21;18;21;18;21;21;12;6;8;7;6;6;8;6
STIMMBEZIRK;091751390005;521;355;0;283;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;42;39;39;39;39;39;40;39;39;39;39;39;39;39;33;36;36;24;16;12;9;9;9;13;9
STIMMBEZIRK;091751390006;468;0;0;242;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;35;28;28;31;28;29;28;32;29;29;26;25;25;27;25;27;28;16;11;8;9;11;8;11;11
STIMMBEZIRK;091751390007;464;385;0;262;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;28;18;18;15;15;21;15;22;17;19;21;16;15;16;15;24;18;12;6;5;5;6;5;5;5
