MaStRId,MaStRNummer,EEGAnlagenschluessel,status,registrierungMaStR,inbetriebnahme,inbetriebnahmeGeplant,stilllegung,name,betreiber,gebaeudeNutzung,plz,ort,strasse,hausnummer,lat,long,netzbetreiberPruefung,typ,module,ausrichtung,bruttoleistung_kW,nettonennleistung_kW,leistungsBegrenzung,EEGAusschreibung,einspeisung,mieterstrom
1962398,SEE917315967099,E2104101S000000000000100163900001,In Betrieb,2019-03-28,2018-08-29,,,Dohlenweg 19/21,Eurytos Energie GmbH& Co. KG,haushalt,85591,Vaterstetten,,,,,true,gebaeude,78,Süd,25.0,20.0,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
1962423,SEE942638202336,E2104101S000000000000100177800001,In Betrieb,2019-03-28,2018-08-29,,,Dohlenweg 23/25,Eurytos Energie GmbH& Co. KG,haushalt,85591,Vaterstetten,,,,,true,gebaeude,95,Süd,26.68,25.0,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
1962439,SEE952169757908,E2104101S000000000000100176300001,In Betrieb,2019-03-28,2018-08-29,,,Dohlenweg 27/29,Eurytos Energie GmbH& Co. KG,haushalt,85591,Vaterstetten,,,,,true,gebaeude,92,Süd,25.3,25.0,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
1962459,SEE932203162332,E2104101S000000000000100162500001,In Betrieb,2019-03-28,2018-08-29,,,Dohlenweg 31,Eurytos Energie GmbH& Co. KG,haushalt,85591,Vaterstetten,,,,,true,gebaeude,41,Süd,11.28,11.28,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4174310,SEE906545389276,E21041011000000000000285211000001,In Betrieb,2021-01-19,2018-09-20,,,,,haushalt,85622,Weißenfeld,,,,,false,gebaeude,16,Süd,4.56,4.56,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2017467,SEE905698004784,E2104101S000000000000100467900001,In Betrieb,2019-05-08,2018-09-21,,,,,haushalt,85646,Purfing,,,,,true,gebaeude,20,Süd,6.6,6.48,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3319183,SEE989881536269,E21041011000000000000285211000001,In Betrieb,2020-08-05,2018-10-04,,,,,haushalt,85622,Weißenfeld,,,,,false,gebaeude,16,Süd,9.12,5.0,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2001274,SEE914447791714,,In Betrieb,2019-04-18,2018-10-05,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,42,Ost,9.92,2.5,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2650624,SEE909579071162,,In Betrieb,2020-01-02,2018-10-08,,,,,haushalt,85646,Neufarn,,,,,true,gebaeude,33,West,9.9,9.9,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3319215,SEE991686943029,E21041011000000000000297274400001,In Betrieb,2020-08-05,2018-10-30,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,18,Süd-Ost,5.67,5.67,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
